Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Fiat,Tipo,23.585,5.8125,80.8125,1446.125,diesel,"38,870","20,998","61,849"
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,petrol,"44,386","12,358","60,495"
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,"37,014","20,774","60,413"
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,petrol,"42,414","12,140","57,164"
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,"29,681","24,275","55,631"
Jaguar,XJ,137.5695455,8,223.5454545,2813,petrol,"44,039","5,719","51,497"
Skoda,Favorit,7.863333333,5,44,1289,petrol,"31,598","13,603","46,308"
Renault,11,11.63114286,4.428571429,47.14285714,1477,petrol,"28,253","15,591","45,074"
Saab,9000,41.616,4.6,125.36,2336.52,petrol,"36,024","6,153","44,621"
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,"29,386","10,272","40,944"
Fiat,Cinquecento,7.712,5,29,899,petrol,"14,483","22,957","38,980"
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,"28,939","7,273","38,281"
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310,petrol,"19,943","16,715","38,066"
Ford,Capri,11.7129,4,69,1864.8,petrol,"31,429","5,994","37,954"
Rover,Mini,7.92,4,33.33333333,868.3333333,petrol,"13,745","22,631","37,705"
Audi,100,37.32636,4.76,101.12,2349.08,petrol,"29,758","5,716","36,759"
Volvo,940,30.236875,4.5,110,2316,petrol,"27,963","6,071","36,043"
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,"16,615","17,727","35,466"
Renault,25,22.35277778,4.222222222,80.92592593,1977.259259,petrol,"28,298","5,581","34,705"
Skoda,Felicia,11.370625,5,48,1518,petrol,"21,488","8,817","31,259"
Lada,Samara,10.9158,5,49.8,1372.4,petrol,"22,723","7,314","30,567"
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,"25,404","4,345","30,421"
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,"21,483","7,962","30,375"
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,"21,654","7,610","30,309"
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,"23,476","5,333","30,178"
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,"18,477","9,546","28,995"
Renault,Espace,59,7,166,1798,petrol,"20,345","6,390","28,266"
Triumph,Acclaim,6.050333333,4.333333333,52,1335,petrol,"18,416","9,078","28,091"
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,petrol,"18,124","8,775","28,020"
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,"22,281","4,145","27,949"
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,"21,650","4,024","27,473"
Hyundai,Accent,14.293,4.6,75.4,1479,petrol,"16,008","9,318","26,104"
Volvo,460,20.49710714,4.142857143,72.42857143,1824.428571,petrol,"18,847","5,722","25,642"
Toyota,MR2,34.19,6,103,1794,petrol,"15,901","8,385","25,268"
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,"19,595","3,987","24,536"
Daewoo,Nexia,12.47666667,4.666666667,58.66666667,1498,petrol,"15,763","7,768","24,531"
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,petrol,"19,790","3,319","24,112"
Toyota,Starlet,11.389,4.142857143,53,1308.285714,petrol,"10,163","12,923","23,934"
Hyundai,Pony,10.32442857,4.142857143,54.35714286,1463.857143,petrol,"13,896","8,829","23,296"
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,"11,277","10,981","23,127"
Honda,Concerto,16.67175,4.5,74,1541.5,petrol,"15,477","6,414","22,930"
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,"10,765","10,996","22,457"
Ford,Ka+,15.46,5,60.8,1196,petrol,"8,469","12,666","22,369"
