Manufacturer,Model,Price,Transmission,Power,EngineCC,Fuel,Male,Female,Total
Ford,Focus,30.61932203,5.966101695,94.03389831,1497.169492,petrol,814172,422731,1293390
Ford,Fiesta,18.53214286,5.714285714,68.57142857,1166.142857,petrol,554879,631666,1240602
Volkswagen,Golf,31.24215385,6.164835165,89.46153846,1537.406593,petrol,483216,310604,841383
Renault,Clio,22.1,5.615384615,75.57692308,1219.653846,petrol,241287,312556,581847
BMW,320i,47.84837037,6.444444444,126.1111111,1995.777778,petrol,408016,115843,552984
Volkswagen,Polo,18.1925,5.074074074,60.96296296,1408.055556,petrol,216333,299110,547144
Peugeot,206,20.03375,4.833333333,71.33333333,1631.5,petrol,178698,250614,455447
Ford,Mondeo,39.97375,1.75,130.25,1998.5,petrol,357452,"69,603",443605
Nissan,Micra,20.3776087,4.869565217,67.95652174,1279.695652,petrol,143218,253000,422837
Honda,Civic,29.942625,4.5,106.225,1480.575,petrol,242188,132958,396188
Ford,Ka+,15.46,5,60.8,1196,petrol,102708,269428,392460
Renault,Megane,26.4498867,5.408866995,87.31034483,1623.793103,petrol,209379,156607,387035
Toyota,Yaris,20.7206,3.52,74.4,1397.8,petrol,137907,214944,380521
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,209476,"69,373",296091
Audi,A4,57.92693548,6.161290323,149.7096774,2283.112903,petrol,202037,"59,936",275602
Volkswagen,Passat,46.06451282,6.487179487,125.4358974,1835.846154,petrol,211510,"48,599",274614
Honda,Jazz,26.3525,0,80,1498,petrol,105551,136875,258124
Audi,A3,36.21929825,6.473684211,94.33333333,1424.666667,petrol,144962,"97,033",256455
Peugeot,307,27.46483636,4.872727273,86.45454545,1723,petrol,132728,108991,256114
Peugeot,207,21.70216667,4.9,79.76666667,1536,petrol,"99,472",138839,251753
Citroen,Xsara,22.36209302,4.88372093,72.58139535,1743.44186,petrol,145377,"87,029",243925
Skoda,Fabia,19.00794118,5.205882353,66.97058824,1292.352941,petrol,109408,"87,532",207716
BMW,118i,37.4265,6.2,104.2,1796.6,petrol,103719,"87,660",203185
Land-Rover,Freelander,43.86363077,5.292307692,105.1692308,2083.523077,diesel,118279,"59,369",187569
Citroen,C3,22.90364865,5.405405405,75.64864865,1364,petrol,"78,551","98,254",186698
Toyota,Corolla,27.23911864,3.033898305,91.61016949,1677.949153,petrol,104996,"67,184",184222
BMW,535i,93.71425,8,225,2979,petrol,138584,"21,302",169329
Toyota,Avensis,37.31523077,4.323076923,103.6769231,1873.261538,petrol,123806,"29,728",163108
Mercedes,E,78.07322727,7.672727273,192.4,2598.818182,petrol,125070,"24,029",158564
Renault,Scenic,32.06304348,5.956521739,89.34782609,1472.826087,diesel,"85,989","62,467",156802
Seat,Ibiza,19.93814035,5.649122807,76.31578947,1205.192982,petrol,"74,717","73,895",154894
Land-Rover,Discovery,107.4521429,8,182.5714286,2425.428571,diesel,112207,"29,981",148576
Land-Rover,Range,107.6705126,8.277310924,196.3361345,2521.092437,diesel,107520,"34,079",148446
Nissan,Qashqai+2,34.93603125,5.25,97.71875,1820.65625,diesel,"79,290","56,539",144659
Skoda,Octavia,30.65053846,6.346153846,95,1136.692308,petrol,110428,"25,662",142237
Fiat,500L,26.29166667,5.6,74.73333333,1186.333333,diesel,"30,349",102113,140639
Mercedes,A,31.1045119,4.547619048,93.01190476,1699.119048,petrol,"55,510","68,928",134165
Nissan,Almera,22.78208333,4.916666667,81.66666667,1847.666667,petrol,"78,034","44,706",130632
Citroen,C4,29.26025,5.95,90.625,1462.3625,petrol,"79,604","42,130",127281
Mini,One,24.09525,6.25,68.75,1498.25,petrol,"29,548","87,974",124949
Toyota,RAV4,43.54851613,1.35483871,137.7741935,2261.193548,petrol,"59,395","54,005",121566
Saab,9-3X,49.28583333,6,145,1963.666667,petrol,"84,741","27,948",119305
Peugeot,107,11.14333333,5,50,998,petrol,"32,821","73,891",112629
Toyota,Aygo,15.20916667,5,53,998,petrol,"33,395","66,147",107356
Hyundai,I10,16.011,5,51.77777778,998,petrol,"39,242","63,346",106796
Audi,A6,82.06090909,7.727272727,199.7272727,2790.454545,diesel,"85,861","15,146",106514
Kia,Picanto,16.59192308,5,52.84615385,998,petrol,"36,803","64,725",105385
Nissan,Note,19.31857143,5,66.42857143,1348.285714,diesel,"54,195","41,756",101859
Seat,Leon,32.93965169,6.348314607,114.8202247,1615.370787,petrol,"65,505","30,221","99,504"
Jaguar,XE,65.56875,8,167.25,1998,petrol,"79,176","13,946","97,090"
Ford,Fusion,19.37890909,4.863636364,61.27272727,1470.909091,petrol,"51,517","41,027","96,939"
Honda,Accord,39.39984314,5.784313725,117.7058824,2151.647059,petrol,"74,157","15,889","95,320"
Mazda,MX-5,37.46857143,5.857142857,103.4285714,1718.571429,petrol,"47,900","39,519","93,405"
Mazda,6,42.66935185,5.907407407,118.1851852,2095.185185,petrol,"71,632","17,216","93,384"
Citroen,C1,13.48615385,5,52.38461538,1028.923077,petrol,"30,691","57,228","92,422"
Suzuki,Swift,19.08518182,3.727272727,68.90909091,1180.545455,petrol,"34,918","49,829","90,817"
Ford,Galaxy,53.78571429,6,124.8571429,1855,diesel,"60,515","24,893","90,559"
Peugeot,308,32.33086957,5.891304348,103.1086957,1482.5,petrol,"50,045","36,010","90,079"
Mazda,3,30.99513158,5.789473684,101.8947368,1905.631579,petrol,"52,309","32,724","89,680"
Audi,TT,64.59222222,6.777777778,178.5555556,2011.555556,petrol,"45,707","37,950","89,371"
Renault,Laguna,34.02059211,5.552631579,99,1920.026316,diesel,"66,613","16,346","86,809"
Mazda,2,21.6,6,64.625,1496,petrol,"29,852","51,314","86,198"
Fiat,Panda,10.42388889,5,52.44444444,1095.777778,petrol,"34,789","42,772","82,232"
Toyota,Auris,26.97346154,3.076923077,85.69230769,1515.282051,petrol,"47,251","30,032","82,030"
Peugeot,306,18.64264,4.84,67,1698.64,petrol,"50,801","26,596","81,294"
Peugeot,106,12.35588235,4.647058824,53.88235294,1366.294118,petrol,"41,148","35,920","80,790"
Volvo,V70,50.96109091,6.181818182,135.2909091,1971.163636,diesel,"59,903","14,323","78,657"
Citroen,Saxo,12.32981818,4.818181818,53.81818182,1367.272727,petrol,"38,039","33,281","74,674"
Volkswagen,Touran,32.98557692,6.230769231,94.03846154,1528.807692,diesel,"41,330","24,181","70,042"
Volkswagen,Beetle,33.25025,6.166666667,112.75,1475,petrol,"16,475","48,750","70,001"
Kia,Rio,22.95871429,6.285714286,80,998,petrol,"36,610","28,881","67,730"
Ford,C-MAX,32.1815,6,99,1448.6,petrol,"39,067","22,899","64,302"
BMW,X5,113.2693333,8,246.3333333,2994.666667,diesel,"45,819","14,588","63,675"
Nissan,Juke,28.23090909,6.454545455,86,999,petrol,"24,663","32,045","62,415"
Suzuki,Vitara,26.803,5.428571429,85.71428571,1310,petrol,"34,682","23,094","61,335"
Kia,Ceed,26.97522727,5.863636364,88.09090909,1460.795455,petrol,"37,398","20,296","59,685"
Peugeot,406,28.60820513,4.756410256,92.82051282,2043.820513,petrol,"46,504","9,985","59,182"
Hyundai,Getz,13.63642857,4.714285714,69,1424.857143,petrol,"24,389","31,656","58,992"
Nissan,X-Trail,47.361875,3.75,113.375,1774.8125,diesel,"41,540","14,753","58,825"
Mercedes,CLK,72.79589474,6.210526316,166.3157895,3041,petrol,"38,415","16,438","58,391"
Volvo,S40,35.28132353,5.176470588,113.3529412,2106.5,petrol,"41,358","13,625","58,177"
Rover,75,39.35238095,5,98.04761905,1928.714286,petrol,"46,997","8,060","57,445"
Citroen,Berlingo,27.4386,6.34,85.28,1452,diesel,"37,450","16,005","56,357"
Suzuki,Alto,9.5628,4.6,50,996,petrol,"21,062","30,777","56,169"
Nissan,Primera,26.51269565,4.02173913,93.58695652,1933.021739,petrol,"41,096","11,421","55,803"
Hyundai,I20,21.847,6.090909091,70.72727273,1052.272727,petrol,"26,734","26,745","55,498"
Mercedes,SLK,61.86283333,6.833333333,184.1666667,2748.333333,petrol,"24,741","25,424","53,959"
Ford,S-MAX,47.52333333,6,128.8888889,1886.555556,diesel,"31,973","17,823","52,170"
Mercedes,ML,77.41666667,7,188.3333333,2876,diesel,"35,260","13,819","52,160"
Kia,Sportage,43.97,6.6,115.3,1634.2,diesel,"32,328","17,864","51,834"
Peugeot,407,38.72769231,5.538461538,114.6538462,2178.192308,diesel,"40,589","8,990","51,825"
Citroen,C2,15.14,5,64,1382.75,petrol,"21,142","27,977","51,614"
Hyundai,I30,28.60918919,5.945945946,100.5945946,1387.621622,petrol,"31,244","18,187","51,490"
Jaguar,XF,78.74625,8,176.25,1997,diesel,"43,857","4,860","50,657"
Audi,A1,27.08277108,6.228915663,86.63855422,1377.566265,petrol,"17,678","29,771","49,791"
Mitsubishi,Colt,17.03876744,5.302325581,73.48837209,1374.046512,petrol,"20,915","25,109","48,805"
Audi,A5,59.43242424,7,150.4545455,1981.818182,petrol,"35,411","9,131","46,703"
Ford,Kuga,38.7525,0,165,2488,petrol,"27,761","16,836","45,928"
Toyota,Prius,33.798,0,96,1797.4,petrol,"29,616","10,848","44,847"
Jaguar,S-Type,66.58842105,5.736842105,172.3157895,2934.631579,petrol,"36,990","5,033","43,876"
Volvo,V50,36.52419118,5.176470588,113.3529412,2106.5,petrol,"29,574","11,687","43,742"
Ford,Escort,16.20874359,4.461538462,63.56410256,1650.205128,petrol,"31,223","10,678","43,527"
Volvo,XC90,85.82946154,8,213.1538462,1969,petrol,"26,579","12,860","42,273"
Citroen,C5,34.9090566,5.603773585,104.2264151,1805.924528,diesel,"33,777","6,565","42,173"
Volvo,V40,35.81481651,6.293577982,117.4311927,1921.46789,petrol,"28,059","10,836","41,308"
BMW,X3,76.5922,8,184,2396.4,petrol,"24,013","13,661","40,319"
Volkswagen,Tiguan,44.30857143,6.714285714,108,1663.928571,petrol,"23,104","14,542","39,396"
Mercedes,B,41.38957143,7.285714286,105.7142857,1545.428571,diesel,"19,092","15,501","36,741"
Smart,Fortwo,19.9680625,2.8125,55.375,592.5625,automatic,"17,738","16,848","36,699"
Volkswagen,Bora,25.39952941,4.647058824,78.85294118,1891.588235,petrol,"26,706","7,942","36,406"
Rover,45,23.322,3.75,84.2,1853.9,petrol,"25,441","8,533","35,521"
Porsche,911,158.7922667,7.466666667,293.5333333,3005.4,petrol,"29,960","3,418","34,977"
Jaguar,XJ,137.5695455,8,223.5454545,2813,petrol,"30,739","2,641","34,876"
Subaru,Impreza,30.5976,1.8,97.6,1757.6,petrol,"27,537","5,965","34,850"
Saab,9-May,52.95719388,5.653061224,146.122449,2031.469388,petrol,"26,909","5,562","34,327"
Toyota,Celica,31.5255,5.166666667,109.6666667,1861.833333,petrol,"23,509","8,349","33,552"
Volkswagen,Sharan,45.6995,6,114,1854.2,diesel,"23,214","7,747","33,512"
Hyundai,Santa,44.14181818,6.545454545,144.6363636,2242.636364,diesel,"22,644","9,212","33,372"
Peugeot,208,22.84857143,6.523809524,73.23809524,1241.857143,petrol,"13,875","17,430","32,520"
Volvo,S60,52.085,8,223.8333333,1969,petrol,"25,331","4,913","31,933"
Citroen,DS3,23.35964286,5.25,81.28571429,1410.357143,petrol,"13,057","17,367","31,655"
Renault,Modus,17.82333333,4.666666667,70.33333333,1298.666667,petrol,"13,701","15,260","30,708"
MG,ZR,21.02333333,5,92.33333333,1729.333333,petrol,"19,477","9,964","30,705"
Chrysler,Voyager,39.70773684,4.842105263,117.5789474,2719.842105,diesel,"19,359","9,318","30,389"
Kia,Sorento,36.01325,6,151.6666667,2048.666667,petrol,"20,969","7,821","29,697"
BMW,Z4,64.109625,6.75,202.125,2778,petrol,"19,343","8,462","29,553"
Rover,2000,17.182,5,74,1994,petrol,"17,725","10,492","29,537"
Volkswagen,Up,17.065625,5.125,51.375,999,petrol,"10,220","17,894","29,196"
Suzuki,Jimny,25.94322222,4.777777778,67,1372.666667,petrol,"14,101","12,767","28,841"
Chevrolet,Matiz,9.492272727,4.909090909,40.81818182,850.2727273,petrol,"9,404","17,374","28,470"
Porsche,Boxster,83.50125,6.5,213.5,3071,petrol,"20,033","6,312","27,942"
Suzuki,Wagon,9.8628,5,50,1090.4,petrol,"12,629","12,804","27,324"
Peugeot,3008,40.98307692,7.307692308,114.2692308,1352.576923,petrol,"17,213","8,974","27,258"
Mazda,323,17.34364706,4.745098039,70.92156863,1683.607843,petrol,"15,999","9,404","26,969"
Ford,Puma,30.3775,6.3125,94.0625,935.625,petrol,"11,079","14,037","26,865"
Fiat,Stilo,22.77681818,5.272727273,92.36363636,1837.363636,petrol,"15,843","8,974","26,157"
Volkswagen,Scirocco,33.70615385,6.153846154,120.1538462,1750.615385,petrol,"17,313","6,728","25,113"
Jaguar,XK,145.6466667,6,283,5000,petrol,"20,604","3,013","24,771"
Seat,Altea,27.13,5.768421053,96.05263158,1774.778947,diesel,"14,157","9,495","24,651"
Volvo,C30,32.4898913,5.304347826,113.2826087,2093.021739,petrol,"13,551","9,639","24,611"
Hyundai,Accent,14.293,4.6,75.4,1479,petrol,"13,520","8,849","23,665"
Volkswagen,Lupo,13.88308333,4.75,47.75,1373.75,petrol,"8,828","12,512","22,660"
Mercedes,Sprinter,43.06842105,6.254385965,104.2017544,2222.710526,diesel,"18,660","2,239","22,529"
Hyundai,Ix35,38.9,5.84,113.84,1926,diesel,"13,708","7,991","22,359"
Renault,Kangoo,18.76848837,4.860465116,67.02325581,1391.023256,diesel,"13,273","7,486","22,091"
Mazda,5,22.12540909,5.5,75.09090909,1622.681818,petrol,"12,385","8,561","22,045"
Volkswagen,Jetta,31.30566667,6.259259259,96.92592593,1587.222222,petrol,"16,259","4,610","21,858"
Seat,Alhambra,49.82277778,6,115.8333333,1746.944444,petrol,"14,659","5,610","21,553"
Renault,Espace,59,7,166,1798,petrol,"14,370","5,657","21,272"
Suzuki,Ignis,19.45142857,3.571428571,61,1197,petrol,"9,623","10,103","21,225"
Suzuki,SX4,20.6695,4.75,88,1586,petrol,"10,925","9,035","21,177"
Kia,Carens,31.195,6,105.875,1755.75,petrol,"13,424","6,193","20,483"
Audi,Q5,64.50769231,6.846153846,144.2307692,2048.538462,diesel,"12,761","6,588","20,393"
Mercedes,CLA,46.5274,7.04,131.6,1596.92,petrol,"16,634","2,550","20,253"
Peugeot,Partner,20.36464286,5.857142857,82.25,1534.392857,diesel,"13,570","5,531","20,090"
Subaru,Forester,51.646,0,110,1995,petrol,"13,236","5,511","20,054"
Skoda,Yeti,30.351,6.3,83.5,1452.3,petrol,"13,365","5,800","20,048"
Volkswagen,Touareg,94.098125,8,190,2967,diesel,"14,059","4,973","19,938"
Fiat,Seicento,8.17,5,40,1108,petrol,"7,901","10,570","19,546"
Skoda,Superb,39.725,6.8,110,1592,petrol,"16,399","2,367","19,529"
Fiat,Bravo,22.455,6,92.30769231,1466.307692,petrol,"11,663","7,015","19,515"
BMW,X1,51.44133333,7.2,123.9333333,1863.133333,diesel,"10,717","7,442","19,427"
Audi,Q7,106.5488889,8,210,2976.333333,diesel,"13,244","4,579","18,804"
Alfa-Romeo,147,25.3433871,5.193548387,95.09677419,1802.774194,petrol,"11,552","5,743","18,359"
Toyota,MR2,34.19,6,103,1794,petrol,"11,658","5,595","18,178"
BMW,740i,115.533,8,250,2998,petrol,"15,286","1,519","17,860"
MG,TF,32.09,4,98.2,1754.4,petrol,"10,315","6,485","17,730"
Volvo,S80,50.94,6.266666667,138.2833333,1986.766667,diesel,"14,400","2,261","17,624"
Volkswagen,Fox,12.49833333,5,48.66666667,1336.666667,petrol,"6,154","10,468","17,617"
Renault,Twingo,14.94,5.2,59.6,958.6,petrol,"6,015","10,447","17,134"
Mitsubishi,Lancer,23.01661538,4.730769231,90.88461538,1709.538462,petrol,"12,773","3,703","17,083"
Fiat,Doblo,25.17006452,5.516129032,79.30645161,1523.741935,diesel,"11,730","4,440","17,070"
Volkswagen,Eos,42.2862,6,113.8,1740,petrol,"6,660","9,047","17,059"
BMW,M3,135.1055,6.5,309,3999,petrol,"14,930","1,383","16,974"
Chrysler,PT,29.88478947,4.736842105,109.1052632,2238.631579,petrol,"9,477","6,366","16,872"
Hyundai,Matrix,18.513,4.6,76,1599,petrol,"9,531","6,321","16,641"
Toyota,IQ,17.31777778,3.666666667,58.44444444,1152.888889,petrol,"6,539","8,634","16,461"
Mercedes,SLS,264.675,7,420,6208,petrol,"12,431","3,121","16,431"
Audi,A2,23.0525,5,55,1406,petrol,"7,516","7,685","16,412"
BMW,Z3,39.7374,4.6,115,2234.4,petrol,"9,579","5,143","15,691"
Volvo,C70,52.19640625,5.3125,126.5,2323.9375,petrol,"10,078","4,642","15,613"
Skoda,Roomster,20.9225,5.375,68.875,1272.4375,petrol,"9,000","5,670","15,469"
Suzuki,Splash,13.1466,4.8,55.4,1144.8,petrol,"6,376","7,977","15,258"
Toyota,Previa,43.08,4.666666667,105,2239.666667,petrol,"10,252","3,863","15,233"
Toyota,Starlet,11.389,4.142857143,53,1308.285714,petrol,"6,266","7,546","14,623"
Chevrolet,Aveo,18.615,5.2,69.6,1330.4,petrol,"6,945","6,839","14,512"
Volvo,XC70,58.46907407,6.444444444,148.5185185,2174.037037,diesel,"10,247","3,053","14,267"
Hyundai,Tucson,41.59161538,6.461538462,111.3076923,1624.769231,petrol,"9,004","4,687","14,262"
Subaru,Legacy,37.52210345,3.896551724,107.3793103,2084.37931,petrol,"10,398","2,989","14,210"
Porsche,Cayenne,158.976,8,326,3295,petrol,"10,034","3,418","14,183"
Alfa-Romeo,156,32.898125,5.333333333,116.2916667,2081.375,petrol,"10,882","2,428","13,956"
BMW,640i,114.8758333,8,235,2979,petrol,"11,265","1,708","13,667"
Chevrolet,Spark,11.395,5,52.5,1047.75,petrol,"5,142","7,685","13,571"
Chevrolet,Kalos,14.22409091,4.727272727,64.45454545,1353.363636,petrol,"6,012","6,758","13,539"
Mitsubishi,Outlander,37.44666667,2.611111111,120.3333333,2085.055556,petrol,"8,910","3,970","13,500"
Nissan,Pixo,9.465666667,4.666666667,50,996,petrol,"4,700","8,094","13,409"
Honda,FR-V,33.12857143,5.285714286,103,1914.714286,petrol,"7,167","5,292","13,241"
Daihatsu,Sirion,14.333375,4.5625,59.875,1183.25,petrol,"5,141","7,106","12,986"
Rover,Mini,7.92,4,33.33333333,868.3333333,petrol,"7,690","4,739","12,979"
Kia,Venga,23.58666667,5.25,81.16666667,1509.75,petrol,"7,343","5,303","12,936"
Ford,Streetka,26,5,70,1597,petrol,"2,304","9,672","12,875"
Skoda,Felicia,11.370625,5,48,1518,petrol,"7,729","4,375","12,744"
Nissan,Terrano,37.01736842,4.736842105,97.57894737,2697.368421,diesel,"9,143","3,027","12,739"
Mitsubishi,Space,23.16515789,3.947368421,82.15789474,1817.315789,petrol,"7,314","4,690","12,720"
Mitsubishi,Carisma,22.69,4.8,82.2,1773.7,petrol,"9,003","3,084","12,717"
Chevrolet,Lacetti,18.76285714,4.714285714,80.42857143,1612.928571,petrol,"8,102","3,942","12,710"
MG,ZT,42.74666667,5,128.5,2548.833333,petrol,"10,660","1,541","12,606"
Mercedes,CLC,42.5595,6.166666667,131.6666667,2313.666667,petrol,"6,065","5,405","12,207"
Land-Rover,Defender,108.7471951,7.853658537,207.6097561,2304.97561,diesel,"9,293","2,167","12,128"
Seat,Arosa,13.70454545,4.818181818,47.45454545,1384,petrol,"4,800","6,549","11,922"
MG,ZS,30.99,0,105,335,automatic,"8,948","2,277","11,617"
Honda,HR-V,32.723,3.6,96,1498,petrol,"6,436","4,377","11,528"
Smart,City-coupe,13.2053,6,35.8,679,petrol,"4,946","5,197","10,805"
Daihatsu,Terios,26.19775,4.625,77,1495,petrol,"4,903","5,230","10,774"
Toyota,Carina,17.44569231,4.692307692,68.26923077,1791.230769,petrol,"7,738","2,453","10,770"
Fiat,Multipla,25.2075,5,80.5,1753,petrol,"6,043","3,615","10,294"
Audi,A8,116.545,8,230,2981,petrol,"8,781",749,"10,075"
Kia,Soul,33.495,0,81,285,automatic,"5,504","4,181","10,068"
Skoda,Citigo,12.6825,5,45,999,petrol,"3,867","4,960","9,231"
Suzuki,Liana,18.88233333,4.666666667,74,1523.333333,petrol,"5,205","3,467","9,215"
Bentley,Continental,285.247,7.2,428.2,5577.8,petrol,"7,602","1,024","9,032"
Chevrolet,Captiva,55.62,6,145.75,2460.75,petrol,"5,701","2,875","9,001"
Nissan,Pathfinder,60.9552,5.5,146,2588.6,diesel,"6,393","2,239","8,957"
Peugeot,205,13.11525,4.75,50.875,1430.75,petrol,"5,690","2,841","8,943"
Saab,900,37.00904545,4.590909091,114.6818182,2208.090909,petrol,"6,096","2,050","8,754"
Ford,B-MAX,22.91875,5.25,75.5,1288.5,petrol,"5,001","3,496","8,684"
Volvo,940,30.236875,4.5,110,2316,petrol,"6,659","1,547","8,669"
Seat,Toledo,20.37,5.642857143,74.21428571,1324.357143,petrol,"6,234","2,009","8,614"
Hyundai,Ix20,27.4066,6,89,1552,petrol,"5,033","3,351","8,607"
Volvo,850,36.38445588,4.5,125.7058824,2294.764706,petrol,"6,702","1,438","8,567"
Toyota,Verso-S,22.047,3.6,73,1329,petrol,"4,955","2,986","8,512"
Audi,S3,60.87,6.75,228,1984,petrol,"6,675","1,345","8,342"
Alfa-Romeo,159,43.26150943,5.905660377,135.3773585,2276,diesel,"6,851","1,024","8,258"
Daewoo,Lanos,13.24516667,4.833333333,66.66666667,1506.5,petrol,"4,259","3,305","8,036"
Smart,Forfour,24.674,0,60,160,automatic,"3,137","4,251","7,966"
Citroen,C8,45.59125,5.25,104.1666667,2027.833333,petrol,"4,896","2,619","7,935"
Mazda,626,20.7195,4.71875,81.375,1950.90625,petrol,"5,710","1,753","7,893"
Dacia,Sandero,14.04,5,66,898,petrol,"4,395","3,269","7,873"
Peugeot,807,45.76307692,5.307692308,109.0769231,2053,diesel,"4,829","2,435","7,697"
Peugeot,5008,42.50666667,7.142857143,99.52380952,1294.142857,petrol,"4,563","2,622","7,580"
Mitsubishi,ASX,33.40333333,0,110,1998,petrol,"4,639","2,546","7,505"
Porsche,Cayman,84.60125,6.5,220.5,3071,petrol,"5,864","1,082","7,308"
Chrysler,300C,70.31925,4.5,199,4123.5,petrol,"6,232",767,"7,248"
Mercedes,300,62.39565385,4.384615385,135.5,2972.307692,petrol,"5,685","1,175","7,245"
Honda,Insight,24.612,0,72,1339,petrol,"4,587","2,144","7,191"
Dacia,Duster,20.75666667,5.666666667,89.33333333,1332,petrol,"4,708","2,180","7,083"
Lexus,CT,32.73833333,0,100,1798,petrol,"4,220","2,112","7,007"
Peugeot,1007,18.657,5,59.58333333,1407.333333,petrol,"3,061","3,340","6,818"
Peugeot,508,46.85390244,7.707317073,125.0487805,1642.04878,diesel,"5,657",919,"6,807"
Citroen,Xantia,24.84390244,4.756097561,84.92682927,1982.756098,petrol,"5,246","1,192","6,784"
Peugeot,RCZ,38.93888889,6,135.5555556,1642.333333,petrol,"3,218","3,135","6,705"
Nissan,350Z,55.4225,6,221,3498,petrol,"5,649",800,"6,667"
Mazda,Demio,14.7754,4.8,51.4,1428.4,petrol,"3,090","2,953","6,440"
Honda,S2000,55.25,6,177,1997,petrol,"4,891","1,201","6,373"
Mercedes,190,36.64326667,4.466666667,88.73333333,2284.133333,petrol,"4,841","1,082","6,271"
Hyundai,Trajet,30.352,4.4,99,2117.6,petrol,"3,984","1,926","6,220"
Chevrolet,Tacuma,20.20388889,4.777777778,82.33333333,1775.777778,petrol,"3,634","2,138","6,162"
Alfa-Romeo,GT,37.350625,5.375,121.0625,1972.8125,petrol,"4,892",989,"6,156"
Mazda,Premacy,23.22409091,4.909090909,82,1938,petrol,"3,819","1,990","6,149"
Citroen,ZX,16.05676923,4.923076923,67,1703.153846,petrol,"3,972","1,837","6,109"
Volvo,V60,50.48413043,7.304347826,150.6086957,1969,diesel,"4,321","1,290","5,990"
Fiat,Brava,17.22277778,4.888888889,70,1615.333333,petrol,"3,555","2,067","5,986"
Audi,S4,95.29916667,6.333333333,253.6666667,3764.333333,petrol,"4,985",692,"5,891"
BMW,X6,125.49625,8,282.25,3344.75,petrol,"4,371","1,148","5,813"
Subaru,Outback,53.62733333,0,122.6666667,2331.333333,petrol,"4,060","1,324","5,794"
Dodge,Caliber,26.59125,4.125,108.625,1911.75,petrol,"3,537","1,839","5,647"
Ford,Maverick,29.151,5,89,2526.5,petrol,"4,054","1,123","5,423"
Rover,Streetwise,20.74,5,75,1695,petrol,"3,028","2,110","5,420"
Rover,CityRover,11.74,5,63,1405,petrol,"2,351","2,603","5,352"
Kia,Cerato,19.895,4.8,94,1742.6,petrol,"3,240","1,779","5,257"
Lotus,Elise,53.792,6,134.3333333,1730,petrol,"4,463",462,"5,139"
Ford,Cougar,32.11766667,4.666666667,115.3333333,2362,petrol,"3,669",933,"4,826"
Smart,Roadster-coupe,24.35,6,60,698,petrol,"3,014","1,462","4,793"
Aston-Martin,Vantage,360.755,6,410,5341,petrol,"4,192",359,"4,742"
Hyundai,I40,35.535,6,93.6,1647.4,diesel,"3,793",742,"4,674"
Chevrolet,Cruze,28.17,5.583333333,103,1706.333333,petrol,"3,389","1,045","4,635"
Seat,Exeo,33.8615625,5.375,116.25,1925.25,petrol,"3,722",659,"4,528"
Toyota,Urban,20.21333333,6,74,1329,petrol,"2,025","2,036","4,357"
Seat,Mii,11.917,5,49.13333333,999,petrol,"1,693","2,445","4,327"
Audi,A7,87.12,8,190,2967,diesel,"3,715",401,"4,278"
Peugeot,405,20.43008333,4.791666667,69.875,1773,petrol,"3,321",747,"4,216"
Abarth,500C,21.105625,5,60.625,1039.5,petrol,"2,305","1,697","4,182"
Volkswagen,Transporter,35.37645833,6,103.0833333,1968,diesel,"3,063",867,"4,174"
Alfa-Romeo,Spider,55.2,6,163.5,2696.5,petrol,"2,897","1,027","4,173"
Citroen,DS4,31.1275,5.75,105.25,1688.25,petrol,"2,709","1,292","4,162"
Toyota,Picnic,25.29875,4.5,94,1998,petrol,"2,672","1,134","4,107"
Mercedes,Viano,57.22905851,5.234042553,120.4255319,2309.340426,diesel,"3,085",722,"4,067"
Fiat,Ulysse,36.70125,4.875,91.75,2019.75,petrol,"2,732","1,092","4,044"
Ford,Sierra,18.2955625,4.875,70.25,1836.5,petrol,"3,439",405,"3,934"
Aston-Martin,DB9,273.755,6,381,5935,petrol,"3,354",305,"3,819"
Audi,80,27.09825,4.666666667,91.75,2247.333333,petrol,"2,934",670,"3,785"
Chrysler,Neon,19.71783333,4,98,1995,petrol,"2,363","1,184","3,772"
Hyundai,Terracan,44.62833333,4.333333333,127.6666667,3100.333333,diesel,"2,805",805,"3,711"
BMW,M550i,134.789,8,390,4395,petrol,"3,327",201,"3,667"
Kia,Magentis,28.803,4.8,111.2,2126.8,petrol,"2,855",663,"3,662"
Citroen,AX,10.83275,5,45,1242,petrol,"1,935","1,492","3,591"
Audi,RS4,121.77,6.666666667,316.3333333,3740,petrol,"3,101",278,"3,495"
Renault,Captur,27.94142857,6.214285714,93.35714286,1235.428571,petrol,"1,837","1,574","3,476"
Mitsubishi,Grandis,30.839,4.6,121,2378,petrol,"2,194","1,035","3,453"
Chrysler,Crossfire,56.15916667,5.5,174.3333333,3199,petrol,"2,209","1,076","3,447"
Honda,CR-Z,27.12333333,6,101,1497,petrol,"1,979","1,241","3,429"
Mercedes,R,88.77777778,7,190,3377.444444,petrol,"2,317",857,"3,425"
Honda,Stream,27.935,5,103.5,1833,petrol,"2,146","1,002","3,415"
Fiat,Idea,20.31264706,5.352941176,63.29411765,1344.823529,diesel,"1,712","1,409","3,343"
Honda,Prelude,27.78966667,4.666666667,110.6666667,2050.333333,petrol,"2,377",809,"3,339"
Hyundai,Elantra,19.055,4.6,89.2,1827.8,petrol,"2,299",743,"3,183"
